x,z,dist,zorg,ne
68940.7884943001,-26.3704625644289,363,-26.3704625644289,1
68941.7884943001,-26.3586550794931,364,-26.3586550794931,1
68942.7884943001,-26.3468475945561,365,-26.3468475945561,1
68943.7884943001,-26.3350314103349,366,-26.3350314103349,1
68944.7884943001,-26.3228034482976,367,-26.3228034482976,1
68945.7884943001,-26.3105754862614,368,-26.3105754862614,1
68946.7884943001,-26.2983475242242,369,-26.2983475242242,1
68947.7884943001,-26.2861195621881,370,-26.2861195621881,1
68948.7884943001,-26.2738916001509,371,-26.2738916001509,1
68949.7884943001,-26.2616636381148,372,-26.2616636381148,1
68950.7884943001,-26.2494356760776,373,-26.2494356760776,1
68951.7884943001,-26.2372077140416,374,-26.2372077140416,1
68952.7884943001,-26.2249797520042,375,-26.2249797520042,1
68953.7884943001,-26.2127517899681,376,-26.2127517899681,1
68954.7884943001,-26.2005238279309,377,-26.2005238279309,1
68955.7884943001,-26.1882958658949,378,-26.1882958658949,1
68956.7884943001,-26.1760679038577,379,-26.1760679038577,1
68957.7884943001,-26.1638399418216,380,-26.1638399418216,1
68958.7884943001,-26.1516119797854,381,-26.1516119797854,1
68959.7884943001,-26.1393840177482,382,-26.1393840177482,1
68960.7884943001,-26.1271560557122,383,-26.1271560557122,1
68961.7884943001,-26.1149280936749,384,-26.1149280936749,1
68962.7884943001,-26.1027001316389,385,-26.1027001316389,1
68963.7884943001,-26.0905046529247,386,-26.0905046529247,1
68964.7884943001,-26.0797654107988,387,-26.0797654107988,1
68965.7884943001,-26.0690261686722,388,-26.0690261686722,1
68966.7884943001,-26.0582869265465,389,-26.0582869265465,1
68967.7884943001,-26.0475476844197,390,-26.0475476844197,1
68968.7884943001,-26.036808442294,391,-26.036808442294,1
68969.7884943001,-26.0260692001674,392,-26.0260692001674,1
68970.7884943001,-26.0153299580415,393,-26.0153299580415,1
68971.7884943001,-26.0045907159148,394,-26.0045907159148,1
68972.7884943001,-25.9938514737892,395,-25.9938514737892,1
68973.7884943001,-25.9831122316624,396,-25.9831122316624,1
68974.7884943001,-25.9723729895367,397,-25.9723729895367,1
68975.7884943001,-25.96163374741,398,-25.96163374741,1
68976.7884943001,-25.9508945052844,399,-25.9508945052844,1
68977.7884943001,-25.9401552631575,400,-25.9401552631575,1
68978.7884943001,-25.9294160210318,401,-25.9294160210318,1
68979.7884943001,-25.9186767789051,402,-25.9186767789051,1
68980.7884943001,-25.9079375367794,403,-25.9079375367794,1
68981.7884943001,-25.8971982946527,404,-25.8971982946527,1
68982.7884943001,-25.886459052527,405,-25.886459052527,1
68983.7884943001,-25.8757198104013,406,-25.8757198104013,1
68984.7884943001,-25.8649805682745,407,-25.8649805682745,1
68985.7884943001,-25.8542413261488,408,-25.8542413261488,1
68986.7884943001,-25.8435020840222,409,-25.8435020840222,1
68987.7884943001,-25.8327628418965,410,-25.8327628418965,1
68988.7884943001,-25.8220235997697,411,-25.8220235997697,1
68989.7884943001,-25.8112843576439,412,-25.8112843576439,1
68990.7884943001,-25.8005451155172,413,-25.8005451155172,1
68991.7884943001,-25.7898058733915,414,-25.7898058733915,1
68992.7884943001,-25.7790666312648,415,-25.7790666312648,1
68993.7884943001,-25.7683273891392,416,-25.7683273891392,1
68994.7884943001,-25.7575881470125,417,-25.7575881470125,1
68995.7884943001,-25.7468489048866,418,-25.7468489048866,1
68996.7884943001,-25.7361096627599,419,-25.7361096627599,1
68997.7884943001,-25.7253704206343,420,-25.7253704206343,1
68998.7884943001,-25.7146311785075,421,-25.7146311785075,1
68999.7884943001,-25.7038919363818,422,-25.7038919363818,1
69000.7884943001,-25.6931526942552,423,-25.6931526942552,1
69001.7884943001,-25.6824134521295,424,-25.6824134521295,1
69002.7884943001,-25.6716742100026,425,-25.6716742100026,1
69003.7884943001,-25.6609349678769,426,-25.6609349678769,1
69004.7884943001,-25.6501957257502,427,-25.6501957257502,1
69005.7884943001,-25.6394564836245,428,-25.6394564836245,1
69006.7884943001,-25.6287172414978,429,-25.6287172414978,1
69007.7884943001,-25.6179779993722,430,-25.6179779993722,1
69008.7884943001,-25.6072387572464,431,-25.6072387572464,1
69009.7884943001,-25.5964995151196,432,-25.5964995151196,1
69010.7884943001,-25.5857602729939,433,-25.5857602729939,1
69011.7884943001,-25.5750210308673,434,-25.5750210308673,1
69012.7884943001,-25.5642817887416,435,-25.5642817887416,1
69013.7884943001,-25.5535425466148,436,-25.5535425466148,1
69014.7884943001,-25.5428033044891,437,-25.5428033044891,1
69015.7884943001,-25.5320640623623,438,-25.5320640623623,1
69016.7884943001,-25.5213248202366,439,-25.5213248202366,1
69017.7884943001,-25.5105855781099,440,-25.5105855781099,1
69018.7884943001,-25.4998848642189,441,-25.4998848642189,1
69019.7884943001,-25.4906911625294,442,-25.4906911625294,1
69020.7884943001,-25.4814974608407,443,-25.4814974608407,1
69021.7884943001,-25.4723037591513,444,-25.4723037591513,1
69022.7884943001,-25.4631100574628,445,-25.4631100574628,1
69023.7884943001,-25.4539163557733,446,-25.4539163557733,1
69024.7884943001,-25.4447226540848,447,-25.4447226540848,1
69025.7884943001,-25.4355289523953,448,-25.4355289523953,1
69026.7884943001,-25.4263352507069,449,-25.4263352507069,1
69027.7884943001,-25.4171415490173,450,-25.4171415490173,1
69028.7884943001,-25.4079478473287,451,-25.4079478473287,1
69029.7884943001,-25.3987541456393,452,-25.3987541456393,1
69030.7884943001,-25.3895604439507,453,-25.3895604439507,1
69031.7884943001,-25.3803667422613,454,-25.3803667422613,1
69032.7884943001,-25.3711730405728,455,-25.3711730405728,1
69033.7884943001,-25.3619793388841,456,-25.3619793388841,1
69034.7884943001,-25.3527856371946,457,-25.3527856371946,1
69035.7884943001,-25.3435919355062,458,-25.3435919355062,1
69036.7884943001,-25.3343982338167,459,-25.3343982338167,1
69037.7884943001,-25.3252045321281,460,-25.3252045321281,1
69038.7884943001,-25.3159367944363,461,-25.3159367944363,1
69039.7884943001,-25.3039020230581,462,-25.3039020230581,1
69040.7884943001,-25.291867251679,463,-25.291867251679,1
69041.7884943001,-25.279832480301,464,-25.279832480301,1
69042.7884943001,-25.2677977089218,465,-25.2677977089218,1
69043.7884943001,-25.2557629375438,466,-25.2557629375438,1
69044.7884943001,-25.2437281661646,467,-25.2437281661646,1
