x,z,dist,ne
68663.7884943001,-29.4580783612978,86,0
68664.7884943001,-29.4484187265202,87,0
68665.7884943001,-29.4387590917436,88,0
68666.7884943001,-29.429099456966,89,0
68667.7884943001,-29.4194398221894,90,0
68668.7884943001,-29.4097801874117,91,0
68669.7884943001,-29.4001205526342,92,0
68670.7884943001,-29.3904609178574,93,0
68671.7884943001,-29.3808012830808,94,0
68672.7884943001,-29.3711416483031,95,0
68673.7884943001,-29.3614820135265,96,0
68674.7884943001,-29.3518223787489,97,0
68675.7884943001,-29.3421627439723,98,0
68676.7884943001,-29.3325031091945,99,0
68677.7884943001,-29.3228434744179,100,0
68678.7884943001,-29.3131838396403,101,0
68679.7884943001,-29.3035242048637,102,0
68680.7884943001,-29.2938645700861,103,0
68681.7884943001,-29.2842049353095,104,0
68682.7884943001,-29.2745453005317,105,0
68683.7884943001,-29.2648856657551,106,0
68684.7884943001,-29.2552260309775,107,0
68685.7884943001,-29.2455663962009,108,0
68686.7884943001,-29.2359067614232,109,0
68687.7884943001,-29.2262471266467,110,0
68688.7884943001,-29.2165874918698,111,0
68689.7884943001,-29.2069278570923,112,0
68690.7884943001,-29.1972682223146,113,0
68691.7884943001,-29.187608587538,114,0
68692.7884943001,-29.1779489527604,115,0
68693.7884943001,-29.1682893179838,116,0
68694.7884943001,-29.1586296832062,117,0
68695.7884943001,-29.1489700484294,118,0
68696.7884943001,-29.1393104136528,119,0
68697.7884943001,-29.1296507788752,120,0
68698.7884943001,-29.1199911440985,121,0
68699.7884943001,-29.110331509321,122,0
68700.7884943001,-29.1006718745443,123,0
68701.7884943001,-29.0910122397666,124,0
68702.7884943001,-29.08135260499,125,0
68703.7884943001,-29.0716929702124,126,0
68704.7884943001,-29.0620333354358,127,0
68705.7884943001,-29.0523737006581,128,0
68706.7884943001,-29.0427140658816,129,0
68707.7884943001,-29.0330544311039,130,0
68708.7884943001,-29.0233947963272,131,0
68709.7884943001,-29.0137351615495,132,0
68710.7884943001,-29.004075526773,133,0
68711.7884943001,-28.9944158919953,134,0
68712.7884943001,-28.9847562572187,135,0
68713.7884943001,-28.9750966224411,136,0
68714.7884943001,-28.9654369876644,137,0
68715.7884943001,-28.9557773528867,138,0
68716.7884943001,-28.9461177181101,139,0
68717.7884943001,-28.9364580833325,140,0
68718.7884943001,-28.9268002600816,141,0
68719.7884943001,-28.9173679074111,142,0
68720.7884943001,-28.9079355547414,143,0
68721.7884943001,-28.8985032020718,144,0
68722.7884943001,-28.8890708494012,145,0
68723.7884943001,-28.8796384967316,146,0
68724.7884943001,-28.8702061440612,147,0
68725.7884943001,-28.8607737913916,148,0
68726.7884943001,-28.8513414387209,149,0
68727.7884943001,-28.8419090860513,150,0
68728.7884943001,-28.8324767333808,151,0
68729.7884943001,-28.8230443807112,152,0
68730.7884943001,-28.8136120280408,153,0
68731.7884943001,-28.8041796753712,154,0
68732.7884943001,-28.7947473227006,155,0
68733.7884943001,-28.7853149700309,156,0
68734.7884943001,-28.7758826173604,157,0
68735.7884943001,-28.7664502646908,158,0
68736.7884943001,-28.7570179120203,159,0
68737.7884943001,-28.7475855593508,160,0
68738.7884943001,-28.7381183522559,161,0
68739.7884943001,-28.724856236691,162,0
68740.7884943001,-28.711594121125,163,0
68741.7884943001,-28.6983320055603,164,0
68742.7884943001,-28.6850698899942,165,0
68743.7884943001,-28.6718077744295,166,0
68744.7884943001,-28.6585456588635,167,0
68745.7884943001,-28.6452835432986,168,0
68746.7884943001,-28.6320214277339,169,0
68747.7884943001,-28.6187593121679,170,0
68748.7884943001,-28.6054971966032,171,0
68749.7884943001,-28.5922350810371,172,0
68750.7884943001,-28.5789729654724,173,0
68751.7884943001,-28.5657108499062,174,0
68752.7884943001,-28.5524487343415,175,0
68753.7884943001,-28.5391866187755,176,0
68754.7884943001,-28.5259245032108,177,0
68755.7884943001,-28.5126623876446,178,0
68756.7884943001,-28.4994002720799,179,0
68757.7884943001,-28.4861381565139,180,0
68758.7884943001,-28.472876040949,181,0
68759.7884943001,-28.4596139253829,182,0
68760.7884943001,-28.4463518098182,183,0
68761.7884943001,-28.4330896942522,184,0
68762.7884943001,-28.4198275786875,185,0
68763.7884943001,-28.4065654631215,186,0
68764.7884943001,-28.3933033475566,187,0
68765.7884943001,-28.3800412319905,188,0
68766.7884943001,-28.3667791164258,189,0
68767.7884943001,-28.3535170008598,190,0
68768.7884943001,-28.3402548852951,191,0
68769.7884943001,-28.3269927697291,192,0
68770.7884943001,-28.3137306541642,193,0
68771.7884943001,-28.3004685385995,194,0
68772.7884943001,-28.2872064230334,195,0
68773.7884943001,-28.2739443074687,196,0
68774.7884943001,-28.2606821919027,197,0
68775.7884943001,-28.247420076338,198,0
68776.7884943001,-28.2341579607717,199,0
68777.7884943001,-28.220895845207,200,0
68778.7884943001,-28.207633729641,201,0
68779.7884943001,-28.1943716140763,202,0
68780.7884943001,-28.1811094985103,203,0
68781.7884943001,-28.1678473829456,204,0
68782.7884943001,-28.1545852673795,205,0
68783.7884943001,-28.1413231518146,206,0
