z,x,dist,ne
-30.0862720923716,68225.7884943001,0,1
-30.0769053484906,68226.7884943001,1,1
-30.0675386046095,68227.7884943001,2,1
-30.0581718607285,68228.7884943001,3,1
-30.0488051168475,68229.7884943001,4,1
-30.0394383729665,68230.7884943001,5,1
-30.0300716290854,68231.7884943001,6,1
-30.0207048852044,68232.7884943001,7,1
-30.0113381413234,68233.7884943001,8,1
-30.0019713974423,68234.7884943001,9,1
-29.9926046535613,68235.7884943001,10,1
-29.9832379096803,68236.7884943001,11,1
-29.9738711657993,68237.7884943001,12,1
-29.9645044219182,68238.7884943001,13,1
-29.9551376780372,68239.7884943001,14,1
-29.9457709341562,68240.7884943001,15,1
-29.9364041902751,68241.7884943001,16,1
-29.9270374463941,68242.7884943001,17,1
-29.9176707025131,68243.7884943001,18,1
-29.9083039586321,68244.7884943001,19,1
-29.898937214751,68245.7884943001,20,1
-29.88957047087,68246.7884943001,21,1
-29.880203726989,68247.7884943001,22,1
-29.8708369831079,68248.7884943001,23,1
-29.8614702392269,68249.7884943001,24,1
-29.8521034953459,68250.7884943001,25,1
-29.8427367514648,68251.7884943001,26,1
-29.8333700075838,68252.7884943001,27,1
-29.8240032637028,68253.7884943001,28,1
-29.8146365198218,68254.7884943001,29,1
-29.8052697759407,68255.7884943001,30,1
-29.7959030320597,68256.7884943001,31,1
-29.7865362881787,68257.7884943001,32,1
-29.7771695442976,68258.7884943001,33,1
-29.7678028004166,68259.7884943001,34,1
-29.7584360565356,68260.7884943001,35,1
-29.7490693126546,68261.7884943001,36,1
-29.7397025687735,68262.7884943001,37,1
-29.7303358248925,68263.7884943001,38,1
-29.7209690810115,68264.7884943001,39,1
-29.7116023371304,68265.7884943001,40,1
-29.7022355932494,68266.7884943001,41,1
-29.6928688493684,68267.7884943001,42,1
-29.6835021054873,68268.7884943001,43,1
-29.6741353616063,68269.7884943001,44,1
-29.6647686177253,68270.7884943001,45,1
-29.6554018738443,68271.7884943001,46,1
-29.6460351299632,68272.7884943001,47,1
-29.6366683860822,68273.7884943001,48,1
-29.6273016422012,68274.7884943001,49,1
-29.6179348983201,68275.7884943001,50,1
-29.6085681544391,68276.7884943001,51,1
-29.5992014105581,68277.7884943001,52,1
-29.5898346666771,68278.7884943001,53,1
-29.580467922796,68279.7884943001,54,1
-29.571101178915,68280.7884943001,55,1
-29.561734435034,68281.7884943001,56,1
-29.5523676911529,68282.7884943001,57,1
-29.5430009472719,68283.7884943001,58,1
-29.5336342033909,68284.7884943001,59,1
-29.5242674595099,68285.7884943001,60,1
-29.5149007156288,68286.7884943001,61,1
-29.5055339717478,68287.7884943001,62,1
-29.4961672278668,68288.7884943001,63,1
-29.4868004839857,68289.7884943001,64,1
-29.4774337401047,68290.7884943001,65,1
-29.4680669962237,68291.7884943001,66,1
-29.4587002523426,68292.7884943001,67,1
-29.4493335084616,68293.7884943001,68,1
-29.4399667645806,68294.7884943001,69,1
-29.4306000206996,68295.7884943001,70,1
-29.4212332768185,68296.7884943001,71,1
-29.4118665329375,68297.7884943001,72,1
-29.4024997890565,68298.7884943001,73,1
-29.3931330451754,68299.7884943001,74,1
-29.3837663012944,68300.7884943001,75,1
-29.3743995574134,68301.7884943001,76,1
-29.3650328135324,68302.7884943001,77,1
-29.3556660696513,68303.7884943001,78,1
-29.3462993257703,68304.7884943001,79,1
-29.3369325818893,68305.7884943001,80,1
-29.3275658380082,68306.7884943001,81,1
-29.3181990941272,68307.7884943001,82,1
-29.3088323502462,68308.7884943001,83,1
-29.2994656063652,68309.7884943001,84,1
-29.2900988624841,68310.7884943001,85,1
-29.2807321186031,68311.7884943001,86,1
-29.2713653747221,68312.7884943001,87,1
-29.261998630841,68313.7884943001,88,1
-29.25263188696,68314.7884943001,89,1
-29.243265143079,68315.7884943001,90,1
-29.2338983991979,68316.7884943001,91,1
-29.2245316553169,68317.7884943001,92,1
-29.2151649114359,68318.7884943001,93,1
-29.2057981675549,68319.7884943001,94,1
-29.1964314236738,68320.7884943001,95,1
-29.1870646797928,68321.7884943001,96,1
-29.1776979359118,68322.7884943001,97,1
-29.1683311920307,68323.7884943001,98,1
-29.1589644481497,68324.7884943001,99,1
-29.1495977042687,68325.7884943001,100,1
-29.1402309603877,68326.7884943001,101,1
-29.1308642165066,68327.7884943001,102,1
-29.1214974726256,68328.7884943001,103,1
-29.1121307287446,68329.7884943001,104,1
-29.1027639848635,68330.7884943001,105,1
-29.0933972409825,68331.7884943001,106,1
-29.0840304971015,68332.7884943001,107,1
-29.0746637532204,68333.7884943001,108,1
-29.0652970093394,68334.7884943001,109,1
-29.0559302654584,68335.7884943001,110,1
-29.0465635215774,68336.7884943001,111,1
-29.0371967776963,68337.7884943001,112,1
-29.0278300338153,68338.7884943001,113,1
-29.0184632899343,68339.7884943001,114,1
-29.0090965460532,68340.7884943001,115,1
-28.9997298021722,68341.7884943001,116,1
-28.9903630582912,68342.7884943001,117,1
-28.9809963144102,68343.7884943001,118,1
-28.9716295705291,68344.7884943001,119,1
-28.9622628266481,68345.7884943001,120,1
-28.9528960827671,68346.7884943001,121,1
-28.943529338886,68347.7884943001,122,1
-28.934162595005,68348.7884943001,123,1
-28.924795851124,68349.7884943001,124,1
-28.915429107243,68350.7884943001,125,1
-28.9060623633619,68351.7884943001,126,1
-28.8966956194809,68352.7884943001,127,1
-28.8873288755999,68353.7884943001,128,1
-28.8779621317188,68354.7884943001,129,1
-28.8685953878378,68355.7884943001,130,1
-28.8592286439568,68356.7884943001,131,1
-28.8498619000758,68357.7884943001,132,1
-28.8404951561947,68358.7884943001,133,1
-28.8311284123137,68359.7884943001,134,1
-28.8217616684327,68360.7884943001,135,1
-28.8123949245516,68361.7884943001,136,1
-28.8030281806706,68362.7884943001,137,1
-28.7936614367896,68363.7884943001,138,1
-28.7842946929085,68364.7884943001,139,1
-28.7749279490275,68365.7884943001,140,1
-28.7655612051465,68366.7884943001,141,1
-28.7561944612655,68367.7884943001,142,1
-28.7468277173844,68368.7884943001,143,1
-28.7374609735034,68369.7884943001,144,1
-28.7280942296224,68370.7884943001,145,1
-28.7187274857413,68371.7884943001,146,1
-28.7093607418603,68372.7884943001,147,1
-28.6999939979793,68373.7884943001,148,1
-28.6906272540983,68374.7884943001,149,1
-28.6812605102172,68375.7884943001,150,1
-28.6718937663362,68376.7884943001,151,1
-28.6625270224552,68377.7884943001,152,1
-28.6531602785741,68378.7884943001,153,1
-28.6437935346931,68379.7884943001,154,1
-28.6344267908121,68380.7884943001,155,1
-28.625060046931,68381.7884943001,156,1
-28.61569330305,68382.7884943001,157,1
-28.606326559169,68383.7884943001,158,1
-28.596959815288,68384.7884943001,159,1
-28.5875930714069,68385.7884943001,160,1
-28.5782263275259,68386.7884943001,161,1
-28.5688595836449,68387.7884943001,162,1
-28.5594928397638,68388.7884943001,163,1
-28.5501260958828,68389.7884943001,164,1
-28.5407593520018,68390.7884943001,165,1
-28.5313926081208,68391.7884943001,166,1
-28.5220258642397,68392.7884943001,167,1
-28.5126591203587,68393.7884943001,168,1
-28.5032923764777,68394.7884943001,169,1
-28.4939256325966,68395.7884943001,170,1
-28.4845588887156,68396.7884943001,171,1
-28.4751921448346,68397.7884943001,172,1
-28.4658254009536,68398.7884943001,173,1
-28.4564586570725,68399.7884943001,174,1
-28.4470919131915,68400.7884943001,175,1
-28.4377251693105,68401.7884943001,176,1
-28.4283584254294,68402.7884943001,177,1
-28.4189916815484,68403.7884943001,178,1
-28.4096249376674,68404.7884943001,179,1
-28.4002581937863,68405.7884943001,180,1
-28.3908914499053,68406.7884943001,181,1
-28.3815247060243,68407.7884943001,182,1
-28.3721579621433,68408.7884943001,183,1
-28.3627912182622,68409.7884943001,184,1
-28.3534244743812,68410.7884943001,185,1
-28.3440577305002,68411.7884943001,186,1
-28.3346909866191,68412.7884943001,187,1
-28.3253242427381,68413.7884943001,188,1
-28.3159574988571,68414.7884943001,189,1
-28.3065907549761,68415.7884943001,190,1
-28.297224011095,68416.7884943001,191,1
-28.287857267214,68417.7884943001,192,1
-28.278490523333,68418.7884943001,193,1
-28.2691237794519,68419.7884943001,194,1
-28.2597570355709,68420.7884943001,195,1
-28.2503902916899,68421.7884943001,196,1
-28.2410235478089,68422.7884943001,197,1
-28.2316568039278,68423.7884943001,198,1
-28.2222900600468,68424.7884943001,199,1
-28.2129233161658,68425.7884943001,200,1
-28.2035565722847,68426.7884943001,201,1
-28.1941898284037,68427.7884943001,202,1
-28.1848230845227,68428.7884943001,203,1
-28.1754563406416,68429.7884943001,204,1
-28.1660895967606,68430.7884943001,205,1
-28.1567228528796,68431.7884943001,206,1
-28.1473561089986,68432.7884943001,207,1
-28.1379893651175,68433.7884943001,208,1
-28.1286226212365,68434.7884943001,209,1
-28.1192558773555,68435.7884943001,210,1
-28.1098891334744,68436.7884943001,211,1
-28.1005223895934,68437.7884943001,212,1
-28.0911556457124,68438.7884943001,213,1
-28.0817889018314,68439.7884943001,214,1
-28.0724221579503,68440.7884943001,215,1
-28.0630554140693,68441.7884943001,216,1
-28.0536886701883,68442.7884943001,217,1
-28.0443219263072,68443.7884943001,218,1
-28.0349551824262,68444.7884943001,219,1
-28.0255884385452,68445.7884943001,220,1
-28.0162216946642,68446.7884943001,221,1
-28.0068549507831,68447.7884943001,222,1
-27.9974882069021,68448.7884943001,223,1
-27.9881214630211,68449.7884943001,224,1
-27.97875471914,68450.7884943001,225,1
-27.969387975259,68451.7884943001,226,1
-27.960021231378,68452.7884943001,227,1
-27.9506544874969,68453.7884943001,228,1
-27.9412877436159,68454.7884943001,229,1
-27.9319209997349,68455.7884943001,230,1
-27.9225542558539,68456.7884943001,231,1
-27.9131875119728,68457.7884943001,232,1
-27.9038207680918,68458.7884943001,233,1
-27.8944540242108,68459.7884943001,234,1
-27.8850872803297,68460.7884943001,235,1
-27.8757205364487,68461.7884943001,236,1
-27.8663537925677,68462.7884943001,237,1
-27.8569870486867,68463.7884943001,238,1
-27.8476203048056,68464.7884943001,239,1
-27.8382535609246,68465.7884943001,240,1
-27.8288868170436,68466.7884943001,241,1
-27.8195200731625,68467.7884943001,242,1
-27.8101533292815,68468.7884943001,243,1
-27.8007865854005,68469.7884943001,244,1
-27.7914198415194,68470.7884943001,245,1
-27.7820530976384,68471.7884943001,246,1
-27.7726863537574,68472.7884943001,247,1
-27.7633196098764,68473.7884943001,248,1
-27.7539528659953,68474.7884943001,249,1
-27.7445861221143,68475.7884943001,250,1
-27.7352193782333,68476.7884943001,251,1
-27.7258526343522,68477.7884943001,252,1
-27.7164858904712,68478.7884943001,253,1
-27.7071191465902,68479.7884943001,254,1
-27.6977524027092,68480.7884943001,255,1
-27.6883856588281,68481.7884943001,256,1
-27.6790189149471,68482.7884943001,257,1
-27.6696521710661,68483.7884943001,258,1
-27.660285427185,68484.7884943001,259,1
-27.650918683304,68485.7884943001,260,1
-27.641551939423,68486.7884943001,261,1
-27.632185195542,68487.7884943001,262,1
-27.6228184516609,68488.7884943001,263,1
-27.6134517077799,68489.7884943001,264,1
-27.6040849638989,68490.7884943001,265,1
-27.5947182200178,68491.7884943001,266,1
-27.5853514761368,68492.7884943001,267,1
-27.5759847322558,68493.7884943001,268,1
-27.5666179883747,68494.7884943001,269,1
-27.5572512444937,68495.7884943001,270,1
-27.5478845006127,68496.7884943001,271,1
-27.5385177567317,68497.7884943001,272,1
-27.5291510128506,68498.7884943001,273,1
-27.5197842689696,68499.7884943001,274,1
-27.5104175250886,68500.7884943001,275,1
-27.5010507812075,68501.7884943001,276,1
-27.4916840373265,68502.7884943001,277,1
-27.4823172934455,68503.7884943001,278,1
-27.4729505495645,68504.7884943001,279,1
-27.4635838056834,68505.7884943001,280,1
-27.4542170618024,68506.7884943001,281,1
-27.4448503179214,68507.7884943001,282,1
-27.4354835740403,68508.7884943001,283,1
-27.4261168301593,68509.7884943001,284,1
-27.4167500862783,68510.7884943001,285,1
-27.4073833423973,68511.7884943001,286,1
-27.3980165985162,68512.7884943001,287,1
-27.3886498546352,68513.7884943001,288,1
-27.3792831107542,68514.7884943001,289,1
-27.3699163668731,68515.7884943001,290,1
-27.3605496229921,68516.7884943001,291,1
-27.3511828791111,68517.7884943001,292,1
-27.34181613523,68518.7884943001,293,1
-27.332449391349,68519.7884943001,294,1
-27.323082647468,68520.7884943001,295,1
-27.313715903587,68521.7884943001,296,1
-27.3043491597059,68522.7884943001,297,1
-27.2949824158249,68523.7884943001,298,1
-27.2856156719439,68524.7884943001,299,1
-27.2762489280628,68525.7884943001,300,1
