z,x,dist,ne
-25.6492364281442,68464.7884943001,473,1
-25.6398693372194,68465.7884943001,474,1
-25.6305022462946,68466.7884943001,475,1
-25.6211351553698,68467.7884943001,476,1
-25.6117680644449,68468.7884943001,477,1
-25.6024009735201,68469.7884943001,478,1
-25.5930338825953,68470.7884943001,479,1
-25.5836667916705,68471.7884943001,480,1
-25.5742997007457,68472.7884943001,481,1
-25.5649326098209,68473.7884943001,482,1
-25.5555655188961,68474.7884943001,483,1
-25.5461984279712,68475.7884943001,484,1
-25.5368313370464,68476.7884943001,485,1
-25.5274642461216,68477.7884943001,486,1
-25.5180971551968,68478.7884943001,487,1
-25.508730064272,68479.7884943001,488,1
-25.4993629733472,68480.7884943001,489,1
-25.4899958824224,68481.7884943001,490,1
-25.4806287914975,68482.7884943001,491,1
-25.4712617005727,68483.7884943001,492,1
-25.4618946096479,68484.7884943001,493,1
-25.4525275187231,68485.7884943001,494,1
-25.4431604277983,68486.7884943001,495,1
-25.4337933368735,68487.7884943001,496,1
-25.4244262459487,68488.7884943001,497,1
-25.4150591550239,68489.7884943001,498,1
-25.405692064099,68490.7884943001,499,1
-25.3963249731742,68491.7884943001,500,1
-25.3869578822494,68492.7884943001,501,1
-25.3775907913246,68493.7884943001,502,1
-25.3682237003998,68494.7884943001,503,1
-25.358856609475,68495.7884943001,504,1
-25.3494895185502,68496.7884943001,505,1
-25.3401224276253,68497.7884943001,506,1
-25.3307553367005,68498.7884943001,507,1
-25.3213882457757,68499.7884943001,508,1
-25.3120211548509,68500.7884943001,509,1
-25.3026540639261,68501.7884943001,510,1
-25.2932869730013,68502.7884943001,511,1
-25.2839198820765,68503.7884943001,512,1
-25.2745527911516,68504.7884943001,513,1
-25.2651857002268,68505.7884943001,514,1
-25.255818609302,68506.7884943001,515,1
-25.2464515183772,68507.7884943001,516,1
-25.2370844274524,68508.7884943001,517,1
-25.2277173365276,68509.7884943001,518,1
-25.2183502456028,68510.7884943001,519,1
-25.2089831546779,68511.7884943001,520,1
-25.1996160637531,68512.7884943001,521,1
-25.1902489728283,68513.7884943001,522,1
-25.1808818819035,68514.7884943001,523,1
-25.1715147909787,68515.7884943001,524,1
-25.1621477000539,68516.7884943001,525,1
-25.1527806091291,68517.7884943001,526,1
-25.1434135182042,68518.7884943001,527,1
-25.1340464272794,68519.7884943001,528,1
-25.1246793363546,68520.7884943001,529,1
-25.1153122454298,68521.7884943001,530,1
-25.105945154505,68522.7884943001,531,1
-25.0965780635802,68523.7884943001,532,1
-25.0872109726554,68524.7884943001,533,1
-25.0778438817306,68525.7884943001,534,1
-25.0684767908057,68526.7884943001,535,1
-25.0591096998809,68527.7884943001,536,1
-25.0497426089561,68528.7884943001,537,1
-25.0403755180313,68529.7884943001,538,1
-25.0310084271065,68530.7884943001,539,1
-25.0216413361817,68531.7884943001,540,1
-25.0122742452569,68532.7884943001,541,1
-25.002907154332,68533.7884943001,542,1
-24.9935400634072,68534.7884943001,543,1
-24.9841729724824,68535.7884943001,544,1
-24.9748058815576,68536.7884943001,545,1
-24.9654387906328,68537.7884943001,546,1
-24.956071699708,68538.7884943001,547,1
-24.9467046087832,68539.7884943001,548,1
-24.9373375178583,68540.7884943001,549,1
-24.9279704269335,68541.7884943001,550,1
-24.9186033360087,68542.7884943001,551,1
-24.9092362450839,68543.7884943001,552,1
-24.8998691541591,68544.7884943001,553,1
-24.8905020632343,68545.7884943001,554,1
-24.8811349723095,68546.7884943001,555,1
-24.8717678813846,68547.7884943001,556,1
-24.8624007904598,68548.7884943001,557,1
-24.853033699535,68549.7884943001,558,1
-24.8436666086102,68550.7884943001,559,1
-24.8342995176854,68551.7884943001,560,1
-24.8249324267606,68552.7884943001,561,1
-24.8155653358358,68553.7884943001,562,1
-24.8061982449109,68554.7884943001,563,1
-24.7968311539861,68555.7884943001,564,1
-24.7874640630613,68556.7884943001,565,1
-24.7780969721365,68557.7884943001,566,1
-24.7687298812117,68558.7884943001,567,1
-24.7593627902869,68559.7884943001,568,1
-24.7499956993621,68560.7884943001,569,1
-24.7406286084372,68561.7884943001,570,1
-24.7312615175124,68562.7884943001,571,1
-24.7218944265876,68563.7884943001,572,1
-24.7125273356628,68564.7884943001,573,1
-24.703160244738,68565.7884943001,574,1
-24.6937931538132,68566.7884943001,575,1
-24.6844260628884,68567.7884943001,576,1
-24.6750589719636,68568.7884943001,577,1
-24.6656918810387,68569.7884943001,578,1
-24.6563247901139,68570.7884943001,579,1
-24.6469576991891,68571.7884943001,580,1
-24.6375906082643,68572.7884943001,581,1
-24.6282235173395,68573.7884943001,582,1
-24.6188564264147,68574.7884943001,583,1
-24.6094893354899,68575.7884943001,584,1
-24.600122244565,68576.7884943001,585,1
-24.5907551536402,68577.7884943001,586,1
-24.5855592954355,68578.7661394554,587,1
-24.5803634372314,68579.7661443704,588,1
-24.5751675790266,68580.7661492854,589,1
-24.5699717208224,68581.7661542004,590,1
-24.5647758626176,68582.7661591154,591,1
-24.5595800044135,68583.7661640304,592,1
-24.5543841462087,68584.7661689455,593,1
-24.5491882880045,68585.7661738605,594,1
-24.5439924297998,68586.7661787755,595,1
-24.5387965715956,68587.7661836905,596,1
-24.5336003176767,68588.7661886059,597,1
-24.5277680607106,68589.7661940762,598,1
-24.5219358037454,68590.7661995466,599,1
-24.5161035467793,68591.766205017,600,1
-24.510271289814,68592.7662104874,601,1
-24.5044390328479,68593.7662159577,602,1
-24.4986067758825,68594.7662214281,603,1
-24.4927745189164,68595.7662268985,604,1
-24.4869422619511,68596.7662323689,605,1
-24.4811100049851,68597.7662378393,606,1
-24.4752777480197,68598.7662433096,607,1
-24.4694454910537,68599.76624878,608,1
-24.4636132340883,68600.7662542504,609,1
-24.4577809771223,68601.7662597208,610,1
-24.4519487201569,68602.7662651912,611,1
-24.4461164631908,68603.7662706615,612,1
-24.4402842062255,68604.7662761319,613,1
-24.4344519492594,68605.7662816023,614,1
-24.4286196922941,68606.7662870727,615,1
-24.422787435328,68607.766292543,616,1
-24.4169551783627,68608.7662980134,617,1
-24.4111229213966,68609.7663034838,618,1
-24.4052906644312,68610.7663089542,619,1
-24.3994584074652,68611.7663144245,620,1
-24.3936261504998,68612.7663198949,621,1
-24.3877938935345,68613.7663253653,622,1
-24.3819616365684,68614.7663308357,623,1
-24.3761293796031,68615.7663363061,624,1
-24.370297122637,68616.7663417764,625,1
-24.3644648656716,68617.7663472468,626,1
-24.3586326087057,68618.7663527172,627,1
-24.3528003517402,68619.7663581876,628,1
-24.3469680947742,68620.7663636579,629,1
-24.3411358378088,68621.7663691283,630,1
-24.3353035808428,68622.7663745987,631,1
-24.3294713238774,68623.7663800691,632,1
-24.3236390669114,68624.7663855394,633,1
-24.3178068099461,68625.7663910098,634,1
-24.3119745529799,68626.7663964802,635,1
-24.3061422960146,68627.7664019506,636,1
-24.3003100390485,68628.766407421,637,1
-24.2944777820832,68629.7664128913,638,1
-24.2886455251172,68630.7664183617,639,1
-24.2828132681518,68631.7664238321,640,1
-24.2769810111857,68632.7664293025,641,1
-24.2711487542203,68633.7664347729,642,1
-24.2653164972543,68634.7664402432,643,1
-24.2594842402889,68635.7664457136,644,1
-24.253651983323,68636.766451184,645,1
-24.2478197263576,68637.7664566544,646,1
-24.2419874693921,68638.7664621247,647,1
-24.2361552124261,68639.7664675951,648,1
-24.2303229554607,68640.7664730655,649,1
-24.2244906984948,68641.7664785359,650,1
