z,x,dist,ne
-30.0822407974928,68891.8025263547,0,1
-30.0699097154227,68892.8025200352,1,1
-30.0575786333537,68893.8025137158,2,1
-30.0452475512836,68894.8025073963,3,1
-30.0329164692145,68895.8025010768,4,1
-30.0205853871443,68896.8024947574,5,1
-30.0082543050754,68897.8024884379,6,1
-29.9959232230052,68898.8024821185,7,1
-29.9835921409363,68899.802475799,8,1
-29.9712610588662,68900.8024694795,9,1
-29.9589299767971,68901.8024631601,10,1
-29.9465988947281,68902.8024568406,11,1
-29.9342678126581,68903.8024505212,12,1
-29.921936730589,68904.8024442017,13,1
-29.909605648519,68905.8024378822,14,1
-29.89727456645,68906.8024315628,15,1
-29.8849434843799,68907.8024252433,16,1
-29.8726124023108,68908.8024189238,17,1
-29.8602813202406,68909.8024126044,18,1
-29.8479502381717,68910.8024062849,19,1
-29.8356191561016,68911.8023999655,20,1
-29.8232880740326,68912.802393646,21,1
-29.8109569919625,68913.8023873265,22,1
-29.7986259098934,68914.8023810071,23,1
-29.7862948278233,68915.8023746876,24,1
-29.7739637457543,68916.8023683681,25,1
-29.7616326636842,68917.8023620487,26,1
-29.7493015816152,68918.8023557292,27,1
-29.7369704995452,68919.8023494098,28,1
-29.724639417476,68920.8023430903,29,1
-29.7123083354059,68921.8023367708,30,1
-29.699977253337,68922.8023304514,31,1
-29.6876461712668,68923.8023241319,32,1
-29.6753150891979,68924.8023178124,33,1
-29.6629840071277,68925.802311493,34,1
-29.6506529250588,68926.8023051735,35,1
-29.6383218429885,68927.8022988541,36,1
-29.6259907609195,68928.8022925346,37,1
-29.6136596788506,68929.8022862151,38,1
-29.6013285967805,68930.8022798957,39,1
-29.5889975147104,68931.8022735762,40,1
-29.5766664326415,68932.8022672567,41,1
-29.5643353505724,68933.8022609373,42,1
-29.5520042685022,68934.8022546178,43,1
-29.5396731864333,68935.8022482984,44,1
-29.5273421043631,68936.8022419789,45,1
-29.5150110222942,68937.8022356594,46,1
-29.5026799402241,68938.80222934,47,1
-29.4903488581549,68939.8022230205,48,1
-29.4780177760848,68940.802216701,49,1
-29.4656866940159,68941.8022103816,50,1
-29.4533556119457,68942.8022040621,51,1
-29.4410158305926,68943.8021977381,52,1
-29.4282642714799,68944.8021911985,53,1
-29.4155127123681,68945.8021846589,54,1
-29.4027611532554,68946.8021781192,55,1
-29.3900095941439,68947.8021715796,56,1
-29.3772580350312,68948.80216504,57,1
-29.3645064759196,68949.8021585004,58,1
-29.3517549168069,68950.8021519607,59,1
-29.3390033576954,68951.8021454211,60,1
-29.3262517985825,68952.8021388815,61,1
-29.3135002394709,68953.8021323419,62,1
-29.3007486803582,68954.8021258022,63,1
-29.2879971212467,68955.8021192626,64,1
-29.275245562134,68956.802112723,65,1
-29.2624940030224,68957.8021061834,66,1
-29.2497424439108,68958.8020996438,67,1
-29.2369908847981,68959.8020931041,68,1
-29.2242393256866,68960.8020865645,69,1
-29.2114877665738,68961.8020800249,70,1
-29.1987362074623,68962.8020734853,71,1
-29.1860171316681,68963.8020669626,72,1
-29.1747542922627,68964.8020612025,73,1
-29.1634914528565,68965.8020554424,74,1
-29.1522286134512,68966.8020496823,75,1
-29.1409657740449,68967.8020439221,76,1
-29.1297029346396,68968.802038162,77,1
-29.1184400952334,68969.8020324019,78,1
-29.107177255828,68970.8020266417,79,1
-29.0959144164217,68971.8020208816,80,1
-29.0846515770165,68972.8020151215,81,1
-29.0733887376102,68973.8020093613,82,1
-29.062125898205,68974.8020036012,83,1
-29.0508630587987,68975.8019978411,84,1
-29.0396002193935,68976.8019920809,85,1
-29.0283373799871,68977.8019863208,86,1
-29.0170745405818,68978.8019805607,87,1
-29.0058117011756,68979.8019748005,88,1
-28.9945488617703,68980.8019690404,89,1
-28.983286022364,68981.8019632803,90,1
-28.9720231829588,68982.8019575201,91,1
-28.9607603435535,68983.80195176,92,1
-28.9494975041472,68984.8019459999,93,1
-28.9382346647419,68985.8019402397,94,1
-28.9269718253357,68986.8019344796,95,1
-28.9157089859304,68987.8019287195,96,1
-28.9044461465241,68988.8019229594,97,1
-28.8931833071187,68989.8019171992,98,1
-28.8819204677125,68990.8019114391,99,1
-28.8706576283072,68991.801905679,100,1
-28.8593947889009,68992.8018999188,101,1
-28.8481319494958,68993.8018941587,102,1
-28.8368691100895,68994.8018883986,103,1
-28.8256062706841,68995.8018826384,104,1
-28.8143434312777,68996.8018768783,105,1
-28.8030805918726,68997.8018711182,106,1
-28.7918177524663,68998.801865358,107,1
-28.780554913061,68999.8018595979,108,1
-28.7692920736548,69000.8018538378,109,1
-28.7580292342495,69001.8018480777,110,1
-28.7467663948431,69002.8018423175,111,1
-28.7355035554378,69003.8018365574,112,1
-28.7242407160316,69004.8018307973,113,1
-28.7129778766264,69005.8018250371,114,1
-28.7017150372201,69006.801819277,115,1
-28.6904521978149,69007.8018135169,116,1
-28.6791893584095,69008.8018077567,117,1
-28.6679265190032,69009.8018019966,118,1
-28.6566636795979,69010.8017962365,119,1
-28.6454008401917,69011.8017904763,120,1
-28.6341380007865,69012.8017847162,121,1
-28.6228751613802,69013.8017789561,122,1
-28.6116123219748,69014.8017731959,123,1
-28.6003494825685,69015.8017674358,124,1
-28.5890866431633,69016.8017616757,125,1
-28.577823803757,69017.8017559155,126,1
-28.5665994925811,69018.8017501756,127,1
-28.5568821934003,69019.8017452247,128,1
-28.5471648942201,69020.8017402738,129,1
